Date,RegionName,State,Bedrooms,Price,Metro,CountyName,SizeRank,Rent,Year,Month
2015-01-31,Albuquerque,NM,1,114436.0,Albuquerque,Bernalillo County,35,595.0,2015,1
2015-02-28,Albuquerque,NM,1,114621.0,Albuquerque,Bernalillo County,35,607.5,2015,2
2015-03-31,Albuquerque,NM,1,115008.0,Albuquerque,Bernalillo County,35,595.0,2015,3
2015-04-30,Albuquerque,NM,1,114946.0,Albuquerque,Bernalillo County,35,584.0,2015,4
2015-05-31,Albuquerque,NM,1,114885.0,Albuquerque,Bernalillo County,35,660.0,2015,5
2015-06-30,Albuquerque,NM,1,114765.0,Albuquerque,Bernalillo County,35,660.0,2015,6
2015-07-31,Albuquerque,NM,1,114760.0,Albuquerque,Bernalillo County,35,658.0,2015,7
2015-08-31,Albuquerque,NM,1,115241.0,Albuquerque,Bernalillo County,35,665.0,2015,8
2015-09-30,Albuquerque,NM,1,115747.0,Albuquerque,Bernalillo County,35,660.0,2015,9
2015-10-31,Albuquerque,NM,1,115209.0,Albuquerque,Bernalillo County,35,655.0,2015,10
2015-11-30,Albuquerque,NM,1,114188.0,Albuquerque,Bernalillo County,35,658.0,2015,11
2015-12-31,Albuquerque,NM,1,113333.0,Albuquerque,Bernalillo County,35,700.0,2015,12
2016-01-31,Albuquerque,NM,1,113719.0,Albuquerque,Bernalillo County,35,750.0,2016,1
2016-02-29,Albuquerque,NM,1,114527.0,Albuquerque,Bernalillo County,35,710.0,2016,2
2016-03-31,Albuquerque,NM,1,115336.0,Albuquerque,Bernalillo County,35,755.0,2016,3
2016-04-30,Albuquerque,NM,1,115702.0,Albuquerque,Bernalillo County,35,755.0,2016,4
2016-05-31,Albuquerque,NM,1,115503.0,Albuquerque,Bernalillo County,35,752.5,2016,5
2016-06-30,Albuquerque,NM,1,115144.0,Albuquerque,Bernalillo County,35,658.0,2016,6
2016-07-31,Albuquerque,NM,1,115006.0,Albuquerque,Bernalillo County,35,658.0,2016,7
2016-08-31,Albuquerque,NM,1,114460.0,Albuquerque,Bernalillo County,35,658.0,2016,8
